annex,entry_seq,ref_no,ref_inferred,status,amended_by,mid_amendments,pages,chemical_name,colour_index,inci_name,cas,ec,colour,product_type,max_concentration,other,wording,needs_review
IV,66,66,0,active,▼B,,397,"(4-(4-Aminophenyl)(4-iminocyclohexa-2,5-dienylidene)
methyl)-2-methylaniline
hydrochloride",42510,,,,Violet,"Not to be used in products
applied on mucous
membranes",,,,0
IV,67,67,0,active,▼B,,398,"4-[(4-Amino-m-tolyl)(4-imino-
3-methylcyclohexa-2,5-dien-1-
ylidene)methyl]-o-toluidine
monohydrochloride",42520,,,,Violet,Rinse-off products,5ppm,,,0
IV,68,68,0,active,▼B,,398,"Hydrogen [4-[[4-(diethylamino)phenyl][4-[ethyl[(3-
sulphonatobenzyl)amino]-o-
tolyl]methylene]-3-methylcyclohexa-2,5-dien-1-ylidene]
(ethyl)(3-sulphonatobenzyl)
ammonium, sodium salt",42735,,,,Blue,"Not to be used in products
applied on mucous
membranes",,,,0
IV,69,69,0,active,▼B,,398,"[4-[[4-Anilino-1-naphthyl][4-
(dimethylamino)phenyl]
methylene]cyclohexa-2,5-dien-
1-ylidene]dimethylammonium
chloride",44045,,,,Blue,"Not to be used in products
applied on mucous
membranes",,,,0
IV,70,70,0,active,▼B,,398,"Hydrogen [4-[4-(dimethylamino)-.alpha.-(2-hydroxy-3,6-
disulphonato-1-naphthyl)
benzylidene]cyclohexa-2,5-
dien-1-ylidene]dimethylammonium, monosodium salt",44090,,,221-409-2,Green,,,"Purity criteria as set out in
Commission Directive 95/
45/EC (E 142)",,0
IV,71,71,0,active,▼B,,399,"Hydrogen 3,6-bis(diethylamino)-9-(2,4-disulphonatophenyl)xanthylium, sodium salt",45100,,,,Red,Rinse-off products,,,,0
IV,72,72,0,active,▼B,,399,"Hydrogen 9-(2-carboxylatophenyl)-3-(2-methylanilino)-6-
(2-methyl-4-sulphoanilino)
xanthylium, monosodium salt",45190,,,,Violet,Rinse-off products,,,,0
IV,73,73,0,active,▼B,,399,"Hydrogen 9-(2,4-disulphonatophenyl)-3,6-bis(ethylamino)-2,7-dimethylxanthylium, monosodium salt",45220,,,,Red,Rinse-off products,,,,0
IV,74,74,0,active,▼B,,399,Disodium 2-(3-oxo-6-oxidoxanthen-9-yl)benzoate,45350,,,,Yellow,,6 %,,,0
IV,75,75,0,active,▼B,,399,"4',5'-Dibromo-3',6'-dihydroxyspiro[isobenzofuran-1
(3H),9'-[9H]xanthene]-3-one
and its insoluble barium,
strontium and zirconium lakes,
salts and pigments",45370,,,,Orange,,,"Not more than 1 % 2-(6-
hydroxy-3-oxo-3H-xanthen-
9-y1) benzoic acid and 2 %
2-(bromo-6-hydroxy-3-oxo-
3H-xanthen-9-yl) benzoic
acid",,0
IV,76,76,0,active,▼B,,400,"Disodium 2-(2,4,5,7-tetrabromo-6-oxido-3-oxoxanthen-
9-yl)benzoate and its insoluble
barium, strontium and
zirconium lakes, salts and
pigments",45380,,,,Red,,,"Not more than 1 % 2-(6-
hydroxy-3-oxo-3H-xanthen-
9-y1) benzoic acid and 2 %
2-(bromo-6-hydroxy-3-oxo-
3H-xanthen-9-yl) benzoic
acid",,0
IV,77,77,0,active,▼B,,400,"3',6'-Dihydroxy-4',5'-dinitrospiro[isobenzofuran-1
(3H),9'-[9H]xanthene]-3-one",45396,,,,Orange,,"1 %, when
used in lip
products","Only in free acid form,
when used in lip products",,0
